,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
0,705,525,578,604,621,580,651,606,579,468,582,644,470,725,633,658,656,705,630,679,596,416,527,674,612,501,448,623,620,555,549,406,501,763,991,1012,1023,1010,1010,1013,1021,1007,1008,1020,1011,1023,1012,1012,1016,1022,1005,1019,1009,1018,1023,1010,1007,1007,1021,982,1013,996,1013,1019,1009,1010,1004,1022,1017,1016,1013,1010,976,959,1017,1004,1003,917,985,982,981
1,705,525,578,604,621,580,652,606,579,469,583,643,470,725,634,657,656,705,630,679,597,416,527,673,611,501,449,622,621,556,551,406,499,765,991,1012,1023,1010,1010,1013,1021,1007,1008,1020,1011,1023,1012,1012,1016,1022,1005,1019,1009,1018,1023,1010,1007,1007,1021,982,1013,996,1014,1019,1009,1010,1004,1022,1016,1016,1013,1010,975,959,1017,1004,1003,917,986,982,981
2,705,525,579,604,621,581,652,605,579,470,583,643,470,726,634,657,656,706,629,679,596,417,527,675,613,503,450,622,621,556,550,405,501,764,991,1012,1023,1010,1010,1013,1021,1007,1008,1020,1011,1023,1012,1012,1016,1022,1005,1019,1009,1018,1023,1010,1007,1007,1021,982,1014,996,1013,1019,1008,1009,1003,1022,1016,1016,1013,1010,975,958,1018,1004,1003,916,986,982,981
3,705,526,578,603,621,581,651,606,579,471,582,643,471,726,633,657,656,706,629,679,597,417,526,674,612,500,448,622,621,555,550,406,500,763,991,1012,1023,1010,1010,1013,1021,1007,1008,1020,1011,1023,1012,1012,1016,1022,1004,1019,1009,1018,1023,1010,1007,1007,1021,982,1014,996,1013,1019,1009,1010,1004,1022,1016,1016,1013,1010,975,956,1017,1004,1003,916,986,982,981
4,704,525,577,604,621,580,651,606,579,470,582,644,470,727,634,656,656,705,630,679,597,416,527,673,611,501,449,623,619,555,553,406,501,763,991,1012,1023,1010,1010,1013,1021,1007,1008,1020,1011,1023,1012,1012,1016,1022,1005,1019,1009,1018,1023,1010,1007,1007,1021,982,1013,996,1014,1019,1009,1010,1004,1022,1017,1016,1013,1010,975,959,1017,1004,1003,917,986,982,981
5,703,525,578,604,621,580,652,606,579,469,583,643,470,725,634,657,656,706,630,679,596,416,527,674,611,500,448,622,620,557,550,409,499,764,991,1012,1023,1010,1010,1013,1021,1007,1008,1020,1011,1023,1012,1012,1016,1022,1004,1019,1009,1018,1023,1010,1007,1007,1021,982,1014,996,1014,1019,1009,1010,1004,1022,1017,1016,1013,1010,975,959,1017,1004,1003,917,986,982,981
6,704,525,578,604,621,581,652,606,579,471,582,643,470,726,633,657,655,706,629,679,597,417,526,674,612,500,448,624,621,556,550,407,503,764,991,1012,1023,1010,1010,1013,1021,1007,1008,1020,1011,1023,1012,1012,1016,1022,1005,1019,1009,1018,1023,1010,1007,1007,1021,982,1014,996,1014,1019,1009,1010,1004,1022,1016,1016,1013,1010,975,959,1017,1004,1003,916,985,982,981
7,704,524,578,603,622,580,651,606,580,470,585,644,471,725,633,657,656,706,628,679,597,416,526,674,611,501,448,623,622,555,550,407,499,764,991,1012,1022,1010,1010,1013,1021,1007,1008,1020,1011,1023,1012,1012,1016,1022,1005,1019,1009,1018,1023,1010,1007,1007,1021,982,1014,996,1014,1019,1009,1010,1004,1022,1016,1016,1013,1010,975,958,1018,1004,1003,917,985,982,981
8,706,525,577,604,621,580,651,606,579,470,582,644,470,725,634,658,654,705,630,680,597,416,527,673,612,499,449,623,620,555,551,405,501,764,991,1012,1022,1010,1010,1013,1021,1007,1008,1020,1011,1023,1012,1012,1016,1022,1005,1019,1009,1018,1023,1010,1007,1007,1021,982,1014,996,1014,1019,1008,1009,1003,1021,1016,1016,1013,1010,976,958,1017,1004,1003,916,986,982,981
9,705,525,578,604,619,580,652,606,579,470,583,643,469,725,634,657,656,706,630,679,597,417,527,673,611,500,449,621,621,556,551,405,501,764,991,1012,1023,1010,1010,1013,1021,1007,1008,1020,1011,1023,1012,1012,1016,1022,1005,1019,1009,1018,1023,1010,1007,1007,1021,982,1013,996,1014,1019,1009,1010,1004,1022,1017,1016,1013,1010,975,958,1017,1004,1003,916,985,982,981
10,704,526,578,604,622,581,650,606,580,469,582,643,471,725,633,657,657,705,630,679,600,417,529,675,614,500,434,610,609,542,536,396,499,764,991,1012,1022,1010,1010,1013,1021,1007,1008,1020,1011,1023,1012,1012,1016,1022,1005,1019,1009,1018,1023,1010,1007,1007,1021,982,1013,996,1014,1019,1009,1010,1004,1022,1016,1016,1013,1010,975,959,1017,1004,1003,916,986,982,981
11,706,524,578,604,622,580,651,606,579,470,582,644,471,725,633,658,656,706,629,680,597,416,526,674,611,500,449,623,621,556,550,406,500,764,991,1012,1023,1010,1010,1013,1021,1007,1008,1020,1011,1023,1012,1012,1016,1022,1005,1019,1009,1018,1023,1010,1007,1007,1021,982,1014,996,1013,1019,1009,1010,1004,1022,1017,1016,1013,1010,975,959,1017,1004,1003,917,986,982,981
12,705,525,577,604,621,579,652,607,579,470,583,644,470,726,633,658,656,705,630,680,597,414,529,673,611,499,449,624,621,556,551,405,500,763,991,1012,1023,1010,1010,1013,1021,1007,1008,1020,1011,1023,1012,1012,1016,1022,1005,1019,1009,1018,1023,1010,1007,1007,1021,982,1014,996,1014,1019,1009,1010,1004,1022,1016,1016,1013,1010,976,958,1017,1004,1003,916,985,982,981
