,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
0,987,906,982,983,1009,999,1012,1011,1009,1011,1008,1012,995,1023,1016,1003,1019,1021,1011,1010,1013,1013,1019,1010,1006,1013,948,1023,1018,1003,1018,1014,1011,982,989,1010,1022,1010,1010,1013,1021,1007,1008,1020,1011,1023,1012,1012,1016,1023,1005,1019,1008,1018,1023,1009,1005,1006,1020,981,1013,996,1014,1019,1009,1010,1004,1022,1016,1016,1012,1010,978,956,1017,1003,1002,912,984,979,979
1,989,910,983,985,1011,1000,1013,1012,1009,1011,1007,1011,994,1023,1016,1002,1018,1021,1012,1010,1013,1013,1019,1010,1006,1013,948,1023,1018,1004,1018,1015,1012,982,989,1011,1022,1009,1010,1013,1021,1007,1008,1020,1011,1023,1012,1012,1016,1023,1005,1019,1009,1018,1023,1010,1006,1007,1020,982,1013,994,1013,1018,1008,1009,1003,1021,1016,1016,1012,1010,978,958,1017,1004,1003,916,985,981,981
2,987,906,982,985,1010,1000,1012,1012,1009,1011,1008,1012,995,1023,1016,1003,1018,1021,1011,1010,1013,1013,1019,1010,1006,1013,948,1023,1018,1003,1018,1014,1012,983,990,1011,1022,1010,1010,1013,1021,1007,1008,1020,1010,1023,1012,1011,1015,1023,1003,1019,1009,1018,1023,1010,1006,1007,1021,982,1013,996,1013,1019,1009,1010,1004,1022,1016,1016,1011,1009,975,955,1017,1003,1002,913,984,978,979
3,987,906,982,985,1010,1000,1013,1012,1009,1011,1008,1011,995,1023,1016,1003,1018,1021,1012,1010,1013,1013,1019,1010,1006,1013,948,1023,1017,1003,1018,1014,1011,982,989,1011,1022,1010,1010,1013,1021,1007,1008,1020,1011,1023,1012,1012,1016,1023,1005,1019,1009,1018,1023,1010,1006,1007,1020,980,1013,994,1013,1018,1008,1009,1005,1022,1016,1016,1012,1010,978,958,1017,1004,1003,916,984,979,979
4,989,910,984,985,1010,1000,1013,1011,1009,1011,1008,1011,994,1023,1016,1002,1018,1021,1011,1009,1013,1013,1019,1010,1006,1013,948,1023,1018,1004,1018,1015,1012,983,989,1011,1023,1008,1005,1011,1021,1006,1007,1020,1011,1023,1007,1007,1015,1023,1005,1019,1009,1018,1023,1004,999,1005,1021,982,1013,996,1013,1018,1003,1003,1002,1021,1016,1016,1011,1009,973,947,1015,1002,1003,916,986,981,981
5,988,910,983,985,1010,1000,1012,1012,1009,1015,1006,1006,995,1023,1016,1003,1019,1021,1006,1006,1008,1010,1019,1009,1005,1012,945,1020,1011,998,1016,1015,1012,983,990,1011,1019,999,998,1009,1021,1007,1007,1020,1011,1023,997,999,1009,1023,1005,1019,1009,1018,1022,995,989,999,1020,982,1013,996,1014,1017,995,996,995,1021,1016,1016,1011,1009,974,947,1011,990,998,915,985,979,979
6,992,905,964,984,1010,1000,1013,1012,1009,932,1004,1001,989,1023,1016,1003,1019,1021,998,1001,1005,1005,1019,1010,1006,1012,948,1013,1005,995,1013,1014,1011,982,989,1011,1014,997,995,1000,1021,1007,1008,1020,1011,1020,994,998,1002,1023,1005,1019,1009,1018,1022,990,988,991,1020,980,1013,994,1013,1017,996,997,990,1020,1016,1016,1012,1010,977,948,1005,988,994,913,984,979,979
7,651,909,971,985,1011,1000,1013,1012,1009,998,1003,1003,992,1023,1016,1003,1019,1021,1006,1001,1008,1011,1019,1010,1007,1013,948,1020,1005,996,1015,1014,1011,982,989,1010,1018,999,998,1007,1021,1007,1007,1020,1011,1023,999,1001,1011,1023,1004,1019,1009,1018,1023,998,990,997,1020,982,1013,994,1013,1017,997,997,989,1018,1016,1016,1012,1010,977,950,1007,990,994,916,985,981,981
8,651,906,981,985,1010,1000,1013,1012,1009,1009,1003,1009,995,1023,1016,1002,1018,1021,1006,1003,1010,1012,1019,1010,1007,1013,948,1021,1011,1000,1017,1015,1012,984,990,1011,1020,1001,1002,1010,1021,1006,1007,1019,1010,1023,1001,1003,1014,1023,1005,1019,1009,1018,1023,999,993,1004,1020,982,1014,995,1013,1016,997,995,1000,1021,1016,1016,1011,1009,975,946,1008,998,1001,916,986,980,981
9,650,908,976,985,1011,1000,1013,1012,1009,1008,1003,1006,994,1023,1016,1003,1019,1021,1008,1001,1007,1010,1019,1010,1006,1013,945,1021,1008,997,1014,1014,1012,984,990,1011,1018,999,996,1007,1021,1007,1008,1020,1011,1023,997,999,1009,1023,1004,1019,1008,1018,1022,999,989,1002,1020,982,1013,996,1013,1016,997,995,997,1022,1016,1016,1012,1010,973,940,1005,993,1000,912,984,980,981
10,649,904,971,984,1010,999,1012,1011,1008,1005,1003,1005,992,1023,1016,1003,1019,1021,1008,1003,1007,1009,1020,1010,1006,1013,945,1017,1006,996,1013,1014,1011,983,990,1011,1017,998,995,1005,1021,1007,1008,1020,1011,1023,997,1000,1009,1023,1004,1019,1009,1018,1022,996,989,1001,1021,980,1013,994,1013,1016,995,995,995,1022,1016,1016,1012,1010,976,943,1005,993,1001,917,986,980,981
11,639,904,973,983,1009,999,1013,1012,1009,1005,1003,1005,989,1023,1016,1002,1018,1021,1003,1002,1007,1008,1019,1010,1006,1013,948,1014,1005,997,1013,1015,1012,984,990,1011,1016,997,994,1003,1021,1007,1008,1020,1011,1023,997,1000,1009,1023,1005,1019,1009,1018,1022,997,990,1002,1021,982,1013,994,1013,1015,993,993,992,1021,1016,1016,1012,1010,974,937,1004,993,1001,917,986,981,981
12,657,909,977,985,1011,1000,1013,1012,1009,992,1002,1008,990,1023,1016,1002,1018,1021,1004,1002,1009,1007,1020,1010,1007,1013,948,1018,1005,998,1014,1015,1012,984,990,1011,1018,998,994,1006,1021,1007,1007,1019,1010,1020,997,998,1010,1023,1003,1019,1009,1018,1021,997,991,1004,1021,982,1013,996,1013,1015,994,991,998,1022,1016,1016,1011,1009,968,926,1001,995,1002,916,986,980,981
13,985,906,984,985,1010,1000,1013,1011,1009,1009,1006,1010,996,1023,1016,1003,1018,1021,1008,1006,1010,1013,1019,1009,1006,1012,947,1021,1013,1001,1018,1015,1012,984,990,1011,1021,1002,1006,1013,1021,1007,1008,1020,1010,1023,1000,1004,1015,1023,1003,1019,1009,1018,1023,1000,997,1007,1021,982,1013,996,1013,1014,994,1002,1004,1022,1016,1016,1012,1010,969,926,1006,1002,1002,912,984,979,979
14,987,906,985,984,1010,999,1012,1012,1009,1010,1007,1011,994,1023,1016,1003,1019,1021,1012,1010,1013,1013,1019,1010,1006,1013,948,1023,1017,1003,1018,1014,1011,982,989,1011,1022,1010,1010,1013,1021,1007,1008,1020,1011,1023,1012,1012,1016,1023,1004,1019,1009,1018,1023,1010,1006,1007,1020,980,1013,994,1013,1019,1009,1010,1004,1022,1016,1016,1012,1010,978,958,1018,1004,1003,917,984,979,979
15,989,910,986,985,1011,1000,1013,1012,1008,1010,1007,1011,994,1023,1016,1002,1018,1021,1011,1010,1013,1013,1019,1010,1007,1013,948,1023,1018,1004,1018,1015,1012,982,989,1011,1022,1009,1010,1012,1021,1006,1007,1019,1010,1023,1012,1011,1016,1023,1004,1019,1009,1018,1023,1010,1007,1007,1021,982,1014,995,1014,1019,1009,1009,1003,1022,1016,1016,1011,1009,975,957,1017,1004,1003,916,985,981,981
16,989,910,986,985,1011,1000,1013,1012,1009,1010,1008,1012,995,1023,1016,1003,1019,1021,1011,1009,1013,1013,1019,1010,1007,1013,948,1023,1018,1004,1018,1015,1012,984,990,1012,1022,1009,1009,1012,1021,1006,1007,1020,1010,1023,1012,1011,1016,1023,1005,1019,1009,1018,1023,1010,1006,1007,1020,982,1013,994,1013,1019,1008,1009,1004,1022,1016,1016,1011,1009,975,955,1017,1003,1002,912,984,980,981
17,989,911,986,985,1010,1000,1012,1012,1009,1011,1008,1011,995,1023,1016,1003,1019,1021,1012,1010,1013,1013,1020,1010,1006,1012,945,1022,1017,1003,1018,1014,1012,984,990,1012,1022,1010,1010,1013,1021,1007,1008,1020,1010,1023,1012,1011,1015,1023,1003,1019,1008,1018,1023,1010,1006,1007,1021,982,1013,996,1013,1019,1009,1010,1004,1022,1016,1016,1011,1009,973,953,1017,1003,1003,917,985,981,981
18,987,906,985,983,1009,999,1012,1011,1009,1011,1008,1012,995,1023,1016,1003,1018,1021,1011,1007,1013,1013,1019,1010,1006,1012,945,1021,1012,1001,1018,1015,1012,984,990,1011,1020,1003,1004,1011,1021,1007,1008,1020,1011,1023,1006,1007,1015,1023,1004,1019,1009,1018,1022,1001,997,1004,1020,980,1013,996,1013,1015,999,1001,1002,1022,1016,1016,1012,1010,976,949,1012,998,1001,912,984,979,979
19,1002,906,982,985,1011,1000,1012,1011,1008,1001,999,1003,993,1023,1016,1003,1019,1021,1010,990,1007,1009,1019,1010,1007,1013,948,1021,1005,997,1013,1014,1011,982,989,1011,1020,998,997,1006,1021,1007,1008,1020,1011,1023,996,1000,1008,1023,1005,1019,1009,1018,1023,1001,987,998,1020,980,1013,994,1013,1018,997,996,984,1017,1016,1016,1012,1010,977,949,1005,989,993,915,985,980,981
20,676,908,982,984,1011,1000,1013,1012,1009,955,1001,1004,985,1023,1016,1003,1018,1021,1006,984,1006,1004,1020,1010,1007,1013,948,1018,1005,997,1011,1015,1012,984,991,1011,1019,997,996,1002,1021,1006,1007,1020,1011,1023,994,999,1007,1023,1005,1019,1009,1018,1023,1001,989,999,1020,982,1014,994,1013,1017,995,993,981,1016,1016,1016,1012,1010,977,950,1005,989,991,915,985,981,981
21,673,903,981,985,1011,1000,1013,1012,1009,1008,1000,1006,993,1023,1016,1003,1018,1021,1008,1001,1007,1010,1019,1009,1006,1013,948,1020,1009,998,1016,1015,1012,984,990,1011,1019,1001,1000,1009,1021,1006,1007,1019,1010,1023,1000,1000,1012,1023,1003,1018,1008,1018,1023,1000,990,1003,1020,982,1014,996,1013,1017,997,991,996,1019,1016,1016,1011,1009,973,945,1005,991,997,916,985,981,981
22,660,902,977,982,1009,999,1013,1012,1009,1008,1001,1005,990,1023,1016,1003,1018,1021,1010,1001,1008,1008,1019,1009,1006,1012,945,1020,1006,996,1014,1015,1012,984,990,1011,1018,1001,998,1008,1021,1007,1008,1020,1011,1023,998,999,1011,1023,1004,1019,1009,1018,1023,999,989,1002,1020,982,1013,996,1014,1017,996,992,993,1021,1016,1016,1011,1009,973,941,1005,991,998,913,984,979,979
23,659,901,978,981,1009,999,1012,1012,1009,1008,1001,1006,990,1023,1016,1003,1019,1021,1010,1002,1008,1008,1019,1010,1007,1013,948,1020,1007,997,1014,1014,1011,982,988,1011,1017,1000,997,1008,1022,1007,1008,1020,1011,1023,998,1000,1012,1023,1005,1019,1009,1018,1022,998,987,1002,1020,980,1013,994,1013,1017,995,991,994,1021,1016,1017,1012,1010,976,942,1005,992,998,912,984,979,979
24,615,909,980,982,1011,1000,1012,1011,1008,1001,1001,1006,988,1023,1016,1003,1019,1021,1011,1002,1008,1008,1020,1010,1007,1013,945,1016,1004,995,1014,1014,1012,982,989,1011,1017,1000,996,1007,1021,1007,1008,1020,1011,1023,997,999,1012,1023,1005,1019,1009,1018,1023,998,989,1002,1020,982,1013,994,1013,1016,992,987,991,1021,1016,1016,1013,1010,975,938,1004,991,1000,917,986,980,981
25,986,906,986,985,1011,1000,1013,1012,1008,1006,998,1011,994,1023,1016,1002,1018,1021,1007,1002,1013,1013,1019,1010,1007,1013,948,1020,1007,1003,1018,1015,1012,982,989,1011,1019,999,1007,1012,1021,1007,1008,1020,1011,1023,1000,1006,1016,1023,1004,1019,1009,1018,1022,999,999,1007,1020,980,1013,994,1013,1013,990,999,1004,1022,1016,1016,1012,1010,967,928,1007,1003,1003,917,985,981,981
26,989,910,986,985,1010,1000,1013,1012,1009,1011,1008,1011,994,1023,1016,1002,1018,1021,1011,1009,1013,1013,1019,1010,1007,1013,948,1023,1018,1004,1018,1015,1012,984,990,1011,1022,1010,1010,1013,1021,1007,1008,1020,1011,1023,1012,1011,1015,1023,1005,1019,1009,1018,1023,1010,1007,1007,1021,982,1013,996,1014,1019,1009,1009,1003,1022,1016,1016,1011,1009,975,955,1017,1004,1003,917,987,980,981
27,988,910,986,985,1010,1000,1013,1012,1009,1011,1008,1011,995,1023,1016,1003,1018,1021,1011,1009,1012,1012,1019,1009,1007,1013,945,1023,1018,1004,1018,1015,1012,984,990,1011,1022,1010,1010,1013,1021,1006,1007,1019,1010,1023,1012,1011,1016,1023,1004,1019,1009,1018,1023,1009,1006,1007,1020,982,1014,996,1013,1019,1009,1010,1004,1022,1016,1016,1012,1010,975,955,1017,1003,1002,913,984,980,979
28,988,907,985,984,1009,999,1012,1011,1009,1011,1008,1011,995,1023,1016,1003,1018,1021,1012,1010,1013,1013,1019,1010,1006,1012,945,1023,1017,1003,1018,1014,1011,983,990,1011,1022,1010,1010,1013,1021,1007,1007,1020,1011,1023,1012,1012,1016,1023,1004,1019,1009,1018,1023,1010,1007,1007,1021,982,1013,995,1013,1019,1009,1010,1004,1022,1016,1016,1012,1010,976,955,1017,1003,1002,912,984,979,979
29,989,910,986,985,1010,1000,1013,1012,1008,1010,1007,1011,994,1023,1016,1003,1019,1021,1012,1010,1013,1013,1019,1010,1007,1013,948,1023,1017,1003,1018,1015,1012,984,990,1011,1022,1009,1009,1012,1021,1006,1007,1019,1010,1023,1012,1012,1016,1023,1004,1019,1009,1018,1023,1010,1007,1007,1021,982,1013,994,1013,1018,1008,1009,1003,1022,1016,1016,1012,1010,978,957,1017,1004,1003,917,985,981,981
30,989,910,986,985,1010,1000,1013,1013,1009,1011,1008,1011,995,1023,1016,1003,1019,1021,1012,1009,1012,1012,1019,1009,1006,1013,948,1023,1018,1004,1018,1014,1012,984,990,1012,1023,1010,1010,1013,1021,1007,1007,1020,1010,1023,1012,1011,1015,1023,1003,1018,1008,1018,1023,1007,1006,1007,1021,983,1014,996,1013,1019,1009,1010,1004,1022,1016,1016,1012,1009,976,947,1016,1003,1002,912,984,979,980
31,987,903,984,983,1010,1000,1012,1011,1008,1009,1007,1011,995,1023,1016,1003,1018,1021,1012,1004,1012,1013,1019,1010,1007,1013,948,1022,1013,1001,1018,1015,1012,982,989,1011,1020,1002,1002,1010,1021,1007,1008,1020,1011,1023,1002,1004,1014,1023,1004,1019,1008,1018,1022,999,991,1003,1020,980,1013,995,1013,1017,999,997,1000,1020,1016,1016,1012,1010,977,951,1007,994,998,916,985,979,979
32,1002,908,979,985,1011,1000,1013,1012,1009,982,1002,1003,985,1023,1017,1003,1018,1021,1008,976,1007,1004,1020,1011,1007,1013,948,1021,994,997,1012,1015,1012,984,990,1011,1021,996,997,1006,1021,1007,1007,1019,1010,1023,996,997,1009,1023,1004,1019,1009,1018,1023,1003,989,1000,1020,982,1013,996,1013,1018,997,994,986,1016,1016,1016,1011,1009,975,948,1003,987,991,914,985,981,981
33,609,903,973,976,1010,1000,1012,1012,1009,996,1001,1002,984,1023,1016,1003,1019,1021,1009,1004,1007,1006,1019,1010,1006,1013,945,1022,1005,996,1013,1014,1012,984,990,1011,1021,1000,999,1008,1021,1007,1007,1020,1010,1023,1000,997,1011,1023,1005,1019,1009,1018,1023,1005,990,1002,1018,981,1014,996,1013,1018,1001,994,987,1013,1016,1016,1012,1010,978,954,1005,988,986,908,983,979,979
34,609,900,976,978,1010,999,1012,1011,1009,1008,1000,1005,990,1023,1016,1002,1019,1021,1009,1003,1008,1010,1019,1010,1007,1013,948,1022,1008,997,1015,1014,1012,984,989,1010,1020,1000,999,1009,1021,1007,1007,1020,1011,1023,1001,1000,1013,1023,1004,1019,1009,1018,1023,1003,990,1001,1018,980,1013,994,1013,1018,999,991,992,1016,1016,1016,1012,1010,977,953,1005,990,991,914,985,980,979
35,623,907,976,978,1011,1000,1013,1012,1009,1008,1000,1004,989,1023,1016,1002,1018,1021,1009,1000,1007,1007,1019,1010,1007,1013,948,1021,1006,997,1014,1015,1012,984,990,1011,1019,999,998,1008,1021,1007,1008,1020,1011,1023,999,998,1011,1023,1003,1018,1008,1018,1023,1002,989,1001,1020,982,1014,996,1013,1018,997,991,991,1018,1016,1016,1011,1009,974,947,1003,988,993,914,985,981,981
36,644,908,980,983,1011,1000,1013,1012,1009,1004,1001,1006,991,1023,1016,1003,1019,1021,1012,1002,1008,1010,1020,1010,1007,1013,945,1016,1004,995,1015,1015,1012,984,990,1011,1016,1001,996,1008,1021,1007,1008,1020,1011,1023,996,1000,1012,1023,1004,1019,1008,1018,1022,997,986,1002,1020,982,1013,996,1014,1015,989,983,988,1020,1016,1016,1012,1010,976,943,1003,990,997,917,985,981,981
37,989,911,986,985,1009,999,1012,1011,1008,1009,1007,1011,995,1023,1016,1002,1018,1021,1008,1005,1013,1013,1019,1010,1007,1014,948,1021,1013,1004,1018,1015,1012,984,990,1011,1021,1002,1009,1012,1021,1007,1008,1020,1011,1023,1004,1010,1016,1023,1004,1019,1009,1018,1023,1000,1002,1007,1020,980,1013,994,1013,1015,999,1007,1004,1022,1016,1016,1012,1010,974,947,1016,1004,1003,916,985,981,981
38,989,911,986,985,1011,1000,1012,1012,1009,1011,1008,1012,995,1023,1016,1002,1018,1021,1010,1009,1013,1013,1019,1010,1007,1013,948,1023,1018,1004,1018,1015,1012,984,990,1011,1022,1010,1010,1013,1021,1007,1008,1020,1011,1023,1012,1011,1015,1023,1003,1019,1009,1018,1023,1010,1006,1007,1021,982,1013,996,1013,1019,1009,1010,1004,1022,1016,1016,1012,1009,975,955,1017,1003,1002,917,985,981,981
39,987,906,985,984,1009,999,1012,1011,1009,1011,1008,1011,995,1023,1016,1003,1019,1021,1012,1010,1013,1013,1019,1010,1006,1013,945,1023,1017,1003,1018,1014,1012,983,989,1011,1022,1010,1010,1013,1021,1007,1008,1020,1011,1023,1012,1012,1016,1023,1004,1019,1009,1018,1023,1009,1006,1006,1020,982,1013,996,1013,1019,1009,1010,1004,1022,1016,1016,1012,1010,978,958,1017,1004,1003,916,985,981,979
40,989,906,985,984,1009,999,1012,1011,1009,1011,1008,1012,995,1023,1016,1003,1018,1021,1011,1010,1013,1013,1019,1010,1006,1013,948,1023,1018,1004,1018,1015,1012,982,989,1011,1022,1009,1009,1012,1021,1007,1007,1020,1011,1023,1012,1012,1016,1023,1004,1019,1009,1018,1023,1010,1006,1006,1020,980,1013,994,1013,1018,1008,1010,1004,1022,1016,1016,1012,1010,982,952,1017,1004,1003,916,986,980,981
