,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,greyscale_value
0,350.5,562,743.5,837,905,949,874,960,959,471,623,502.5,807.5,833,910,956,965,972,455,488.5,534.5,785.5,818,836,865,966,896,336,534,590,606,965,961,902,935,959,333.5,579,675,656,892,786,957,971,962,370,640,693.5,899,967,937.5,968,960,968,320,614,727,949,967,929,961,939,969,409,783,780,931.5,903.5,960,967,960,959,465,529,644,802.5,795.5,856,760,931,934.5,0
1,351,561.5,743.5,836.5,905,949,873.5,960,959,471,623,502,808,833,910,956,965,972,455,488,534.5,786,818,836,865,966,896,336,534,589.5,606,965,961,902,935,959,334,579,675,656,892.5,785.5,957,971,962,369.5,640,694,899.5,967,938,968,960,968,319.5,614,727,949,967,929,961,939,969,408.5,783,780,932,904,960,967,960,959,465,529,644,802.5,795.5,856,760,931,934.5,0
2,350,561,743.5,836,905,949,873.5,960,959,471,623,502,807.5,833,910,956,965,972,455,488,534.5,786,818,835.5,865,966,896,336,534,589,606,965,961,902,935,959,334,579.5,674.5,656,892.5,785,957,971,962,369,640,694,899.5,967,937.5,968,960,968,319,614,727,949,967,929,961,939,969,408,783,780,931.5,904,960,967,960,959,465,529,644,802.5,795.5,856,760,931,934.5,0
3,349.5,561,744,836.5,905.5,949,874,960,959,471,623,502,807,833,910,956,965,972,455,488.5,534.5,786,818,835.5,864.5,966,896,336,534,589,606,965,961,902,935,959,333.5,579.5,675,656,892,784.5,957,971,962,369,640,693.5,899,967,937,968,960,968,319,613.5,727,949,967,929,961,939,969,408,783.5,780,931,904,960,967,960,959,465,528.5,644,803,795.5,856,759.5,931,934,0
4,350.5,561,743.5,836,905.5,949,874,960,959,471,623,502.5,807.5,833,909.5,956,965,972,455.5,488.5,534.5,786,818,836,864.5,966,896,336,534,589,606,965,961,902,935,959.5,333,579,675,656,892,784.5,957,971,962,369,640.5,694,899,967,937,968,960,968,319,613.5,727,949,967,929,961,939,969,408,783.5,779.5,931,903.5,960,967,960,959,465.5,528,644,802.5,795,856,759.5,931,934,0
5,349.5,561.5,743,836,905.5,949,874,960,959,471,623,503,808.5,833,909.5,956,965,972,455.5,488.5,535,786.5,817.5,836,865,966,896,336,534,589,606,965,961,902,935,959.5,333.5,579,674.5,656,892,784.5,957,971,962,369,640.5,694,899.5,967,937,968,960,968,319.5,614,727,949,967,929,961,939,969,408,783.5,779,931.5,903,960,967,960,959,465.5,528,644.5,803,794.5,856,760,931,934,0
6,350,561.5,743.5,836.5,906,949,874,960,959,471,623,503,808.5,833,910,956,965,972,455.5,488,534.5,786.5,817.5,836,864.5,966,896,336,534,589,606,965,961,902,935,959.5,334,579.5,674,656,892.5,784.5,957,971,962,369,639.5,694,899.5,967,937,968,960,968,319,614,727,949,967,929,961,939,969,408,784,779,931.5,903.5,960,967,960,959,466,528,644.5,803,795,856,759.5,931,934,0
7,331,573.5,756,784.5,926,949,877,961,959,470,630.5,498,788,821.5,929,956,964,971,485.5,491,534.5,810.5,810.5,826,854,966,896,344.5,539,601,629,965,962,896,935,959.5,311,564,726,652,905,788,957,971,962,280.5,656,716.5,901.5,969,944,968,960.5,969,279.5,635,796,948,967,929,961,940,969,341,767,821,943,892.5,961,966,960,959,412,532,682,834,780,853,764,930,935,1
8,331.5,573.5,755.5,784.5,926,949,876.5,961,959,470,630.5,498,788,821,929,956,964,971,485,491,534.5,810,810,826,854,966,896,344,539,601.5,629,965,962,896,935,959.5,310.5,563.5,726,652,905,788,957,971,962,280,656,716,901.5,969,944,968,960.5,969,278.5,635,795.5,948,967,929,961,940,969,340,766.5,821,943,892.5,961,966,960,959,411,532,682,834,780,853,764,930,935,1
9,332,573.5,755.5,785,926,949,876.5,961,959,470,631,498,787.5,821,929.5,956,964,971,485,491,534,810,810.5,826,854,966,896,344,539,601.5,629,965,962,896,935,959,310,563.5,726,652,905,788,957,971,962,279.5,656,716,900.5,969,944,968,960.5,969,278,635,795.5,948,967,929,961,940,969,340,766.5,821,943,892.5,961,966,960,959,411,532,681.5,834,780,853,763.5,930,935,1
10,332,573.5,756,785,926,949,877,961,959,470,631,498,787.5,821,929.5,956,964,971,485,491,534,810,811,826,854,966,896,344,539,601.5,629.5,965,962,896,935,959,310,563.5,726,652,905,788,957,971,962,279,656,716.5,901.5,969,944,968,960.5,969,278,635,796,948,967,929,961,940,969,339.5,767,821,943,893,961.5,966.5,960,959,410.5,532,681.5,834.5,780,853,763,930,935,1
11,328.5,569,743,783.5,927,949,872.5,961,959,440.5,633,486,807.5,793.5,906.5,956,965,971,447,457.5,550,803,824,816.5,851.5,966,896.5,331.5,545.5,624,651.5,966,962,910,936,960,382,587.5,759,660,893,791,957,971,962,331,651.5,754.5,909.5,968.5,940,968,960,969,338.5,602,798,950,968,930,961,939,969,402,811,851,947,922,962,967,960.5,959,-1,517,1,0.5,0,0,0,0,0,2
12,328.5,569,743,784,927,949,872.5,961,959,440.5,632.5,486,808,793.5,907,956,965,971,447,458,550,803.5,824,816,851,966,896.5,332,545.5,624,651.5,966,962,910,936,960,382,587.5,759,660,893,791,957,971,962,331,651.5,755.5,909.5,969,940,968,960,969,338,602.5,798,950,968,930,961,939,969,401.5,811,851,947,922,962,967,960.5,959,-1,516.5,1.5,0,0,0,0.5,0,0,2
13,328.5,569,743,783.5,927,949,873,961,959,440,633.5,486,808.5,793.5,906,956,965,971,447,457.5,550,804,824,816,851,966,896,331.5,545,624,651.5,966,962,910,936,960,382,587.5,759,660,893,791,957,971,962,331,651.5,756,910,969,940.5,968,960,969,338,602.5,798,950,968,930,961,939,969,401,811,851,947,922,962,967,960,959,-1,516.5,1.5,0,0,0,1,0,0,2
14,327.5,569,743,783.5,927.5,949,873,961,959,440.5,633.5,486,808.5,794,907,956,965,971,447.5,457.5,550,804,824,816,851,966,896,331.5,545.5,624,651.5,966,962,910,936,960,382,587.5,759,660,893,791,957,971,962,330.5,652,756,910,969,940,968,960,969,338,603,798.5,950,968,930,961,939,969,401,811,850.5,947,922,962,967,960.5,959,-1,516,1.5,0,0,0,1,0,0,2
15,327.5,569,743,784,927.5,949,873.5,961,959,440,633.5,486.5,807.5,793.5,907,956,965,971,448,457,550,804,824,816,851,966,896,331,545,624,651.5,966,962,910,936,960,382,588,759,660,893,791,957,971,962,330,652,755.5,910,969,940.5,968,960,969,338,603,798.5,950,968,930,961,939,969,401,811.5,850,947,922,962,967,960.5,959,-1,515.5,1.5,0,0,0,1,0,0,2
16,343,581,819,760.5,935.5,950,857,961,959,473,630,532,808,794,909,957,965,971,410,497.5,597,801.5,830,822.5,859,966,896,326,552.5,645,621,966,961,912,935,960,377,612.5,784,643.5,913,797,958,972,962,341,659,760,912,970,936,969,960,969,335.5,624.5,809,948,968,930,962,940,969,368.5,830.5,848,945.5,902.5,961,967,961,959,-1,1,0,0,0,0,0,0,0,3
17,343,581,819,761,935,950,857,961,959,473.5,630,531.5,808,794.5,908,957,965,971,410,497.5,597,801.5,830,822.5,859,966,896,326,552.5,645.5,621,966,961,911.5,935,960,376.5,612.5,784,644,913,797,958,972,962,341,659,760,911.5,970,936,969,960,969,334.5,625.5,809,948,968,930,962,940,969,368,830.5,848,945.5,903,961,967,961,959,-1,1,0,0,0,0,0,0,0,3
18,343,581,818.5,760.5,935.5,950,856.5,961,959,474,630.5,531,808.5,794,908,957,965,971,410.5,497,597,802,829.5,822,859,966,896,326,552.5,645,621,966,961,912,935,960,376.5,612.5,783.5,643.5,913,797,958,972,962,340.5,658.5,760.5,911.5,970,936,969,960,969,334,625.5,809,948,968,930,962,940,969,368,831,848,945,903,961,967,961,959,-1,1,0,0,0,0,0,0,0,3
19,343,581,818.5,760,935.5,950,856.5,961,959,474,630,531,808,794,908,957,965,971,411,497.5,597,802,830,822,859,966,896,326,552,645,621,966,961,911.5,935,960,376,612.5,783.5,643.5,913,797,958,972,962,340.5,658.5,760,910.5,970,936,969,960,969,333.5,625.5,809,948,968,930,962,940,969,367.5,831,848,945,902.5,961,967,961,959,-1,1,0,0,0,0,0,0,0,3
20,343,581,818.5,760,935,950,856,961,959,474.5,630,531,808,794.5,908,957,965,971,410.5,497.5,596.5,801.5,830,822,859.5,966,896,326,551.5,645,621,966,961,911,935,960,376,612.5,784,644,913,797,958,972,962,340,659,759.5,910.5,970,936,969,960,969,333,625,809,948,968,930,962,940,969,366.5,831,848,945,902,961,967,961,959,-1,1,0,0,0,0,0,0,0,3
21,303,605,819.5,773,922,949,871,961,959,469,643.5,548,801,790,908,955,965,971,403,487.5,578,822,853,822.5,852,966,897,384.5,588,651.5,654.5,966,961,924,936,960,369.5,613.5,768,675,917.5,788,957,971,962,372,658.5,735.5,938,971,946,968.5,960,969,350,636,770,952,968,930,961,941,969,0,1,960,958,974,0,0,0,0,-1,1,25,0,0,0,0.5,0,0,4
22,304,605,819,773,922,949,871,961,959,469,643,547.5,801,790,908,955,965,971,403,488,578.5,822,853,822.5,852,966,896.5,385,588.5,651,654.5,966,961,924,936,960,369.5,614,768,675,917,788,957,971,962,371.5,658.5,735.5,937.5,971,946,968.5,960,969,350,636,770,952,968,930,961,941,969,0,1,960,958,974,0,0,0,0,-1,1,25,0,0,0,1,0,0,4
23,304,605,819,773,922,949,871,961,959,469,643,547.5,801,790,907.5,955,965,971,403,488,578,822.5,853,822,852,966,896,385,588.5,651,654.5,966,961,924,936,960,370,613.5,768,675,917.5,788,957,971,962,371,657.5,737,937,971,946,968.5,960,969,350,636,770,952,968,930,961,941,969,0,1,960,958,974,0,0,0,0,-1,1,25,0,0,0,0.5,0,0,4
24,305,605,819.5,773,922,949,871.5,961,959,469,643,547.5,801,790,907,955,965,971,403,488,578,822.5,853,822,852,966,896,385,588.5,651.5,654.5,966,961,924,936,960,370,613.5,768,675.5,917.5,788,957,971,962,371,657.5,736.5,937,971,946,968.5,960,969,350,636,770,952,968,930,961,941,969,0,1,960,958,974,0,0,0,0,-1,1,25,0,0,0,0,0,0,4
