,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
0,985,903,984,983,1011,998,1012,1011,1008,1009,1007,1011,992,1023,1015,1002,1018,1021,1010,1009,1012,1012,1018,1008,1003,1011,940,1023,1017,1004,1017,1013,1010,978,986,1010,1022,1009,1008,1012,1021,1005,1006,1019,1010,1023,1010,1010,1014,1022,1002,1018,1007,1017,1023,1009,1004,1005,1020,977,1012,993,1013,1018,1008,1009,1003,1022,1015,1016,1010,1008,969,953,1017,1002,1001,905,981,978,977
1,986,903,984,983,1010,998,1012,1011,1008,1008,1006,1010,991,1023,1015,1001,1018,1021,1009,1008,1011,1011,1017,1007,1004,1012,944,1023,1017,1004,1017,1014,1011,979,987,1010,1022,1008,1007,1011,1021,1005,1007,1019,1009,1023,1010,1010,1014,1022,1002,1018,1007,1017,1023,1008,1004,1006,1020,979,1013,994,1013,1018,1007,1008,1002,1021,1015,1015,1010,1008,969,953,1017,1002,1001,906,981,978,978
2,985,903,985,983,1011,998,1012,1010,1007,1008,1006,1010,991,1023,1015,1001,1018,1021,1009,1008,1012,1012,1018,1008,1004,1012,944,1023,1017,1004,1017,1013,1010,978,986,1010,1022,1008,1007,1011,1020,1005,1007,1019,1010,1023,1011,1011,1015,1023,1003,1018,1008,1017,1023,1008,1004,1005,1019,977,1012,993,1012,1018,1007,1009,1002,1021,1015,1015,1010,1008,969,953,1017,1003,1002,910,983,980,979
3,983,898,983,981,1009,997,1011,1010,1008,1009,1007,1011,993,1023,1016,1002,1018,1021,1010,1009,1012,1012,1018,1008,1004,1012,944,1023,1017,1003,1017,1013,1010,978,986,1010,1022,1008,1007,1011,1020,1004,1006,1019,1010,1023,1011,1011,1015,1023,1003,1018,1007,1017,1023,1008,1004,1005,1019,976,1012,992,1012,1018,1007,1009,1003,1022,1015,1016,1011,1008,969,953,1017,1002,1001,906,982,977,977
4,983,899,983,981,1009,997,1011,1011,1008,1009,1007,1011,992,1023,1015,1002,1018,1021,1009,1008,1011,1011,1017,1007,1003,1011,941,1022,1017,1004,1017,1014,1011,980,988,1010,1022,1009,1008,1012,1021,1005,1007,1019,1010,1023,1011,1011,1015,1023,1003,1018,1008,1017,1023,1008,1004,1005,1019,976,1012,993,1012,1018,1008,1009,1003,1022,1015,1016,1011,1009,972,955,1017,1002,1001,906,981,978,977
5,985,903,984,983,1010,998,1012,1011,1008,1009,1007,1011,993,1023,1015,1002,1018,1021,1009,1008,1011,1011,1017,1007,1003,1011,940,1023,1017,1004,1017,1014,1011,980,988,1010,1022,1008,1007,1011,1020,1004,1006,1019,1009,1023,1010,1010,1014,1022,1003,1018,1008,1018,1023,1009,1005,1006,1020,978,1012,993,1012,1018,1007,1009,1002,1021,1015,1015,1010,1008,969,953,1017,1002,1001,905,982,977,976
6,985,899,983,981,1009,997,1011,1010,1007,1008,1006,1010,991,1023,1015,1001,1018,1021,1010,1009,1011,1011,1017,1007,1003,1012,944,1023,1017,1004,1017,1014,1011,980,988,1011,1022,1008,1007,1011,1020,1004,1006,1019,1009,1023,1010,1010,1014,1022,1002,1018,1007,1018,1023,1009,1005,1006,1020,978,1013,993,1012,1018,1007,1009,1002,1021,1015,1015,1010,1008,972,955,1017,1003,1002,910,983,979,979
7,984,899,983,981,1009,997,1011,1010,1007,1008,1006,1010,991,1023,1015,1001,1018,1021,1010,1009,1012,1012,1018,1008,1004,1012,940,1023,1017,1003,1017,1013,1010,978,986,1010,1022,1009,1008,1012,1021,1005,1006,1019,1010,1023,1010,1010,1015,1023,1003,1018,1008,1018,1023,1009,1005,1006,1019,977,1012,992,1012,1018,1007,1008,1002,1021,1015,1015,1010,1009,972,955,1017,1003,1002,910,983,980,979
8,983,899,983,981,1009,997,1011,1010,1007,1008,1006,1010,991,1023,1015,1002,1018,1021,1010,1009,1012,1012,1018,1008,1004,1012,941,1022,1017,1003,1017,1013,1010,978,986,1010,1021,1008,1007,1011,1020,1004,1006,1019,1010,1023,1011,1011,1015,1023,1003,1018,1007,1017,1023,1008,1004,1005,1019,978,1013,994,1013,1018,1008,1009,1003,1022,1015,1016,1011,1008,969,953,1017,1002,1002,910,983,978,977
9,985,904,985,983,1010,998,1012,1011,1008,1009,1007,1010,992,1023,1015,1002,1018,1021,1010,1008,1011,1011,1017,1007,1003,1011,941,1022,1017,1003,1017,1013,1010,977,987,1010,1021,1009,1008,1012,1021,1005,1006,1019,1010,1023,1011,1010,1014,1022,1002,1018,1007,1017,1023,1008,1004,1005,1019,977,1012,994,1013,1018,1008,1009,1003,1022,1015,1016,1010,1008,969,953,1017,1002,1001,906,982,978,977
