,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,color_0,color_1,color_2,color_3,color_4,color_5,color_6,color_7,color_8,color_9,color_10,color_11,color_12,color_13,color_14,color_15,color_16,color_17,color_18,color_19,color_20,color_21,color_22,color_23,color_24,color_25,color_26,color_27,color_28,color_29,color_30,color_31,color_32,color_33,color_34,color_35,color_36,color_37,color_38,color_39,color_40,color_41,color_42,color_43,color_44,color_45,color_46,color_47,color_48,color_49,color_50,color_51,color_52,color_53,color_54,color_55,color_56,color_57,color_58,color_59,color_60,color_61,color_62,color_63,color_64,color_65,color_66,color_67,color_68,color_69,color_70,color_71,color_72,color_73,color_74,color_75,color_76,color_77,color_78,color_79,color_80
0,5,-24906,29,-24906,-24906,-24906,-24906,-24906,-24906,-24480,-24692,-24480,-24906,-24906,-24906,-24480,-24906,-24906,5,-24906,7,-24906,-24906,-24906,-24906,-24480,-24692,-24906,-24906,-24480,-24906,-24480,-24906,-24906,-24480,-24906,-24692,-24906,-24906,-24906,-24906,-24906,-24906,-24480,-24480,-24906,-24906,-24906,-24906,-24906,-24906,-24906,-24480,-24480,-24480,-24906,-24906,-24906,-24480,-24906,-24906,-24692,-24906,-24906,-24906,-24906,-24906,-24906,-24906,-24906,-24906,-24906,-24480,-24906,-24906,-24906,-24906,-24480,-24906,-25340,-24906,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
1,5,-24906,6,-25122,-26226,-24906,-24480,-24906,-24906,-24480,-24906,-24480,-25779,-25340,-24906,-24480,-24906,-24906,5,-24906,5,-25779,-25559,-23440,-24692,-24480,-24906,-24906,-24906,-24480,-24906,-26226,-20189,-23645,-23851,-24906,-24480,-24906,-24906,-22637,-25779,-21477,-23645,-24269,-24480,-24906,-24906,-24906,-24906,-24692,-20549,-23440,-24059,-24059,-24692,-24906,-24906,-25340,-25122,-21666,-15398,-21666,-23440,-24906,-24906,-24906,-24906,-24906,-24269,-20189,-21101,-24480,-24906,-25340,-24906,-24906,-24906,-23237,-623,-3020,-18799,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
2,2,-25122,6,-25122,-26002,-24692,-24269,-24906,-24906,-24480,-24692,-24480,-25779,-25559,-24480,-24480,-24906,-24906,4,-24906,5,-25559,-25340,-23036,-24269,-24480,-24480,-24906,-24906,-24480,-24480,-25779,-20732,-23645,-23851,-24906,-24480,-25122,-24906,-24906,-25340,-24692,-23237,-24480,-24480,-24906,-24906,-24906,-24906,-26002,-22244,-24480,-24480,-24480,-24480,-24906,-24906,-25340,-24692,-19138,-21666,-23440,-24480,-24906,-24906,-24906,-25122,-24692,-22050,-16871,-23851,-24692,-24906,-25122,-24906,-24906,-24480,-19483,-10977,-13524,-22835,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
3,5,-24906,29,-24906,-25779,-24059,-23851,-24692,-24906,-24480,-24692,-24480,-25122,-25340,-24480,-23851,-24059,-24906,6,-24906,6,-24692,-25122,-23440,-23237,-23036,-24480,-24906,-24906,-24480,-24692,-25122,-22244,-23036,-17974,-24906,-24480,-24906,-24906,-24906,-24906,-24269,-22835,-22440,-24480,-24906,-24906,-24906,-24906,-25779,-22835,-21477,-23440,-24480,-24480,-24906,-24906,-24906,-24480,-19310,-21101,-15683,-24269,-24906,-24906,-24906,-24906,-24906,-23851,-13026,-17974,-23645,-24906,-25122,-24906,-24906,-24692,-23645,-10562,-1784,-12426,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
4,-387,-25122,32,-24906,-25340,-23645,-23645,-24906,-24906,-24480,-24480,-24480,-25340,-24906,-24269,-23851,-24906,-24906,2,-25559,5,-24906,-25340,-23851,-23237,-24480,-24692,-24906,-24906,-24692,-23645,-25779,-12193,-22835,-24480,-24906,-24480,-24906,-24059,-16718,-23645,-4516,-13908,-24480,-24269,-24906,-24906,-24906,-22637,-17812,-2721,-17974,-24480,-18632,-24480,-24906,-24906,-24692,-24480,-13026,-10062,-24480,-22637,-24480,-24906,-24906,-25340,-25122,-19138,-2658,-19833,-24480,-24692,-24906,-24906,-24906,-24480,10,54,5,-11298,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
5,2,-24906,8,-24906,-25779,-24059,-24480,-24906,-24906,-24480,-24059,-24692,-24906,-25340,-23851,-24480,-24906,-24906,-2,-24906,9,-26002,-25779,-23440,-24906,-24480,-24480,-24906,-23036,-24480,-24480,-26002,-19310,-24692,-24480,-24906,-24480,-24906,-24269,-20368,-27139,-13524,-24906,-24480,-24480,-24906,-24692,-22835,-21288,-18465,-3309,-24906,-24480,-18799,-24480,-24906,-24906,-22440,-20010,-5535,-24269,-24480,-24906,-24480,-24906,-24906,-24906,-22835,-16871,-11298,-24906,-24906,-24906,-24906,-24906,-24906,-24692,1,11,-16268,-24269,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
6,5,-24906,20,-25122,-25779,-22835,-22835,-24906,-24906,-24480,-24480,-24269,-25122,-25559,-25122,-24059,-24692,-24906,7,-24906,5,-25559,-26002,-24269,-23851,-24480,-24480,-24906,-24906,-24480,-24692,-26226,-23851,-16871,-24480,-24906,-24480,-24906,-24692,-20732,-27139,-23851,-7858,-24480,-24480,-24906,-24692,-24906,-24692,-19833,-12309,-8017,-24480,-22637,-24480,-24906,-24906,-24906,-24269,-12193,-5653,-24480,-21288,-24480,-24906,-24906,-24906,-25122,-17494,-4665,-19483,-24269,-24480,-24906,-24906,-24906,-25122,7,51,-127,-16268,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
7,-61,-24906,8,-24692,-24480,-22440,-24059,-24906,-24906,-24480,-24269,-24269,-25340,-25559,-24480,-23851,-24906,-24906,5,-24906,5,-25122,-25559,-23851,-24269,-24480,-24480,-24906,-24906,-24269,-24692,-25340,-22637,-24059,-24480,-24906,-24480,-24692,-23851,-19138,-26002,-19138,-24059,-24480,-24480,-24906,-24692,-24906,-18300,-13398,-529,-24059,-24480,-15683,-24480,-24906,-24480,-24906,-18799,-605,-24692,-24480,-24906,-24480,-24906,-24906,-24906,-24692,-8857,-1922,-24906,-24906,-24906,-24906,-24906,-24906,-22244,98,28,-11964,-23645,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
8,0,-24906,14,-24692,-24480,-22244,-24480,-24906,-24906,-24480,-24480,-24480,-24692,-24906,-24269,-24480,-24906,-24906,2,-24906,5,-25340,-25122,-23645,-24906,-24480,-24480,-24906,-24906,-24692,-24480,-24692,-23851,-24906,-24480,-24906,-24480,-24692,-24480,-19833,-24480,-22050,-24480,-24480,-24269,-24906,-24480,-24906,-24480,-17812,-10977,-24906,-24480,-22050,-24480,-24906,-24906,-24906,-24059,-16567,-19657,-24480,-24269,-24480,-24906,-24906,-24906,-24692,-20732,-7547,-24692,-24906,-24906,-24906,-24906,-24906,-24480,48,48,-9868,-23645,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
9,5,-24906,12,-24906,-24692,-21288,-23440,-24906,-24906,-24480,-24480,-24480,-25122,-25122,-24692,-24269,-24906,-24906,6,-24906,5,-24906,-25122,-24269,-24480,-24480,-24480,-24480,-24906,-24692,-24269,-25122,-23851,-23440,-24480,-24906,-24480,-24692,-24269,-20010,-25559,-22244,-6341,-24480,-24480,-24906,-24480,-24906,-23237,-13651,-8098,-7029,-24480,-16120,-24480,-24906,-24906,-24692,-22440,-5306,-12426,-24480,-23237,-24480,-24692,-24906,-24906,-24692,-13908,-78,-24269,-24906,-24480,-24906,-24906,-24906,-24059,81,64,-902,-19657,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
10,5,-24906,13,-24692,-25122,-21101,-24480,-24906,-24906,-24480,-24480,-24480,-25122,-25559,-24480,-23645,-24692,-24906,-1,-24906,4,-25779,-26002,-23237,-23036,-24480,-24480,-24480,-24692,-24269,-24692,-25779,-21666,-22050,-24480,-24906,-24480,-24480,-23851,-18300,-26452,-16871,-17336,-24480,-24480,-24906,-24480,-24692,-23440,-16417,-5306,-17180,-24480,-20189,-24480,-24906,-24480,-24480,-24269,-14841,-11083,-24480,-22637,-24480,-24906,-24906,-24906,-24692,-19483,5,-16120,-23645,-24480,-24906,-24906,-24692,-24059,46,88,3,-13149,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
11,5,-24906,10,-24906,-25122,-24269,-24480,-24906,-24906,-24480,-24480,-24269,-25779,-25340,-24692,-24059,-24480,-24906,5,-24906,5,-25340,-26002,-24269,-24269,-24480,-24480,-24480,-24906,-24480,-25122,-26002,-22440,-24059,-24480,-24906,-24480,-24480,-23851,-22835,-27139,-21288,-24480,-24480,-24480,-24906,-24480,-25122,-22440,-25559,-18136,-24692,-24480,-23440,-24480,-24906,-24480,-25340,-23645,-20010,-24480,-24480,-24906,-24480,-24692,-24480,-26226,-24269,-16718,-22835,-24906,-24906,-24480,-24906,-24906,-24906,-21101,-172,-3502,-24480,-24692,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
